EpochTime,181.feed_4958.count,181.feed_4958.pm1,181.feed_4958.pm10,181.feed_4958.pm2.5
1435680759,111250,8.2,10.8,9.9
1435680765,112300,8.3,8.5,8.5
1435680771,112200,8.6,8.6,8.6
1435680777,116850,8.6,8.9,8.9
1435680783,114200,8.2,8.3,8.3
1435680789,115550,8.7,8.8,8.8
1435680795,113000,8.1,8.2,8.2
1435680801,114600,8.3,8.4,8.4
1435680807,111950,8.2,8.4,8.4
1435680813,113400,8.5,8.5,8.5
1435680819,111950,8.2,8.8,8.7
1435680825,114900,8.6,9,8.9
1435680831,115000,8.3,8.4,8.4
1435680837,111850,8.2,8.2,8.2
1435680843,111900,8.3,8.3,8.3
1435680849,115500,8.3,8.3,8.3
1435680855,112300,8.3,8.3,8.3
1435680861,112100,8.2,8.4,8.4
1435680867,115150,8.6,8.6,8.6
1435680873,112800,8.1,8.8,8.6
1435680879,111900,8.3,8.6,8.6
1435680885,114950,8.9,9.3,9.3
1435680891,111950,8.4,8.8,8.7
1435680897,115800,8.6,8.7,8.7
1435680903,114300,8.1,8.1,8.1
1435680909,110850,8.1,9,8.6
1435680915,112300,8.4,8.5,8.5
1435680921,113150,8.3,8.3,8.3
1435680927,113100,8.3,9,8.9
1435680933,115100,8.2,8.2,8.2
1435680939,114650,8.5,8.6,8.6
1435680945,110150,8,8.1,8.1
1435680951,111850,8.3,8.3,8.3
1435680957,116650,8.7,9.2,9.1
1435680963,114200,8.8,9,8.9
1435680969,110700,8.2,8.5,8.5
1435680975,113150,8.5,8.5,8.5
1435680981,110400,8.5,8.7,8.6
1435680987,110050,8.2,8.3,8.3
1435680993,111350,8.4,8.4,8.4
1435680999,106500,7.8,8.1,8.1
1435681005,109800,7.8,7.9,7.9
1435681011,109800,8.5,9,8.9
1435681017,110100,7.9,7.9,7.9
1435681023,108300,8.3,8.5,8.5
1435681029,117800,8.9,9,9
1435681035,106150,7.9,8,8
1435681041,110800,8.2,8.2,8.2
1435681047,112400,8.2,8.3,8.3
1435681053,111250,8.2,8.6,8.5
1435681059,111600,8,8.4,8.4
1435681065,113850,8.6,8.8,8.8
1435681071,110250,8,8.9,8.6
1435681077,117850,8.6,8.7,8.7
1435681083,116200,8.7,8.8,8.8
1435681089,110100,8.1,8.1,8.1
1435681095,111850,8.3,8.5,8.5
1435681101,109550,7.9,7.9,7.9
1435681107,114950,8.6,9.3,9.1
1435681113,117200,8.6,9,8.9
1435681119,108800,7.9,8,8
1435681125,109100,8,8,8
1435681131,110650,8.2,8.2,8.2
1435681137,113950,8.7,8.8,8.8
1435681143,113150,8.4,8.6,8.6
1435681149,110700,8.3,8.6,8.6
1435681155,114100,8.2,8.5,8.5
1435681161,112400,8.4,8.4,8.4
1435681167,108000,8,8.1,8.1
1435681173,114350,8.5,8.5,8.5
1435681179,115100,8.4,8.4,8.4
1435681185,113950,8.5,8.6,8.6
1435681191,109900,8.1,8.1,8.1
1435681197,111300,8.2,8.3,8.3
1435681203,110100,8,8.1,8.1
1435681209,109300,8.3,8.3,8.3
1435681215,116750,8.7,9.4,9.3
1435681221,110450,8.3,8.3,8.3
1435681227,108600,7.9,8.3,8.2
1435681233,114550,8.5,8.5,8.5
1435681239,111000,8.3,8.8,8.8
1435681245,109850,8.2,8.3,8.3
1435681251,111050,8.1,8.1,8.1
1435681257,111900,8.2,8.4,8.4
1435681263,109500,8.3,8.4,8.4
1435681269,108500,8,8.1,8.1
1435681275,112150,8.2,9,8.8
1435681281,107950,7.9,8,8
1435681287,109350,8,8.4,8.3
1435681293,107750,8,8,8
1435681299,109900,8,8.2,8.2
1435681305,110800,8.1,8.1,8.1
1435681311,111850,8.1,8.1,8.1
1435681317,112400,8.3,8.4,8.4
1435681323,109550,7.9,7.9,7.9
1435681329,111100,7.8,7.9,7.9
1435681335,107850,7.9,7.9,7.9
1435681341,114500,8.5,8.5,8.5
1435681348,109950,8.2,9,8.8
1435681354,111950,8.4,8.7,8.7
1435681360,110700,8.2,8.2,8.2
1435681366,106850,8.1,8.1,8.1
1435681372,109000,8,8,8
1435681378,109100,7.9,8,8
1435681384,111250,8.5,9.3,9.1
1435681390,110750,8.2,8.2,8.2
1435681396,110800,8.1,8.2,8.2
1435681402,110900,8.1,8.2,8.2
1435681408,112700,8.4,8.5,8.5
1435681414,113250,8.3,8.3,8.3
1435681420,112450,8.2,8.2,8.2
1435681426,109500,8,8,8
1435681432,110600,8.2,8.2,8.2
1435681438,112300,8.5,8.6,8.6
1435681444,114050,8.2,8.2,8.2
1435681450,109950,8.2,8.2,8.2
1435681456,107350,8,8,8
1435681462,107350,7.9,7.9,7.9
1435681468,107850,8,8.1,8.1
1435681474,116300,8.6,8.7,8.7
1435681480,111650,8.2,8.2,8.2
1435681486,114450,8.4,8.4,8.4
1435681492,108850,8.2,8.4,8.4
1435681498,111700,8,8.2,8.1
1435681504,113050,8.3,8.4,8.4
1435681510,106950,7.7,7.7,7.7
1435681516,108550,8,8.2,8.2
1435681522,114750,8.6,8.7,8.7
1435681528,109550,8.1,8.2,8.2
1435681534,112200,8.2,8.3,8.3
1435681540,109250,7.9,7.9,7.9
1435681546,110650,8.1,8.3,8.3
1435681552,105600,7.8,7.9,7.9
1435681558,110050,8.3,8.6,8.5
1435681564,114050,8.3,8.4,8.4
1435681570,109500,8,8,8
1435681576,112100,8.2,8.6,8.5
1435681582,113650,8.2,8.3,8.3
1435681588,106650,7.7,7.7,7.7
1435681594,106150,7.8,7.8,7.8
1435681600,111550,8,8,8
1435681606,106600,8.1,8.3,8.3
1435681612,109150,8.3,8.8,8.7
1435681618,110650,8.1,8.3,8.3
1435681624,113150,8.5,8.8,8.8
1435681630,111500,7.9,8,8
1435681636,111000,8.2,8.2,8.2
1435681642,109400,8.2,8.2,8.2
1435681648,111600,8,8.1,8.1
1435681654,109400,8.3,9,8.9
1435681660,110150,8,8,8
1435681666,111950,8.2,8.2,8.2
1435681672,111250,8.3,8.3,8.3
1435681678,106700,8,8.6,8.5
1435681684,110150,8.1,8.1,8.1
1435681690,110200,8.1,8.6,8.6
1435681696,113900,8.4,8.4,8.4
1435681702,108850,8.2,8.3,8.3
1435681708,116800,8.6,8.7,8.7
1435681714,111200,8,8.1,8.1
1435681720,109250,8.1,8.1,8.1
1435681726,107650,7.9,7.9,7.9
1435681732,109650,8,8.1,8.1
1435681738,107800,8,8.5,8.5
1435681744,109550,8,8,8
1435681750,113150,8.4,8.5,8.5
1435681756,107100,7.9,7.9,7.9
1435681762,107700,7.9,7.9,7.9
1435681768,110950,8,8,8
1435681774,106300,7.9,8,8
1435681780,112950,8.3,8.6,8.6
1435681786,111150,8.4,8.5,8.5
1435681792,109850,7.9,8.1,8.1
1435681798,110600,8.3,8.3,8.3
1435681804,111850,8.2,8.2,8.2
1435681810,107700,8.3,8.3,8.3
1435681816,113500,8.5,8.6,8.6
